keys,values
00, 
010,e
0110,t
01110,o
01111,n
1000,i
1001,a
1010,s
10110,r
10111,h
11000,l
11001,d
11010,c
110110,f
1101110,u
1101111,p
111000,m
111001,w
111010,"
"
1110110,b
1110111,g
111100,y
1111010,","
11110110,v
11110111,.
1111100,k
11111010,I
111110110,C
1111101110,V
1111101111,H
111111000,A
111111001,q
111111010,”
1111110110,“
1111110111,x
111111100,T
1111111010,M
11111110110,—
11111110111,-
11111111000,’
11111111001,W
11111111010,L
111111110110,z
111111110111,S
11111111100,O
111111111010,E
111111111011,B
111111111100,‘
1111111111010,j
1111111111011,N
1111111111100,9
1111111111101,8
1111111111110,1
1111111111111,0
