keys,values
000, 
0010,e
0100,t
01010,a
01100,o
01110,n
10000,i
10001,r
10011,s
10100,h
101100,l
101110,d
110000,u
110001,c
110010,f
110011,m
110101,"
"
1101100,","
1101110,w
1101111,p
1110001,g
1110011,y
1110100,b
1110110,.
11101110,v
11110000,k
111100011,I
111100100,T
111100110,_
111101000,1
111101001,S
111101011,A
111101100,2
111101101,3
1111011100,4
1111011110,5
1111011111,B
1111100001,P
1111100010,q
1111100100,C
1111100101,M
1111100111,-
1111101000,0
1111101001,8
1111101010,9
1111101011,H
1111101101,6
1111101110,7
1111101111,G
11111100001,E
11111100011,x
11111100100,z
11111100110,—
11111101000,O
11111101001,R
11111101010,W
11111101100,F
11111101101,j
11111101110,:
11111101111,N
11111110001,L
11111110010,”
11111110011,“
111111101000,D
111111101010,K
111111101100,’
111111101110,V
111111101111,ü
111111110001,ï
111111110010,J
111111110100,î
111111110101,Y
111111110110,;
1111111101111,]
1111111110001,[
1111111110011,)
1111111110100,(
1111111110101,U
1111111110110,?
11111111101111,!
11111111110001,é
11111111110011,ö
11111111110101,*
11111111110110,æ
11111111110111,™
111111111110001,X
111111111110011,Z
111111111110101,í
111111111110110,⸺
1111111111101110,è
1111111111110000,Q
1111111111110010,á
1111111111110100,/
1111111111110101,à
11111111111101101,ç
11111111111101111,ô
111111111111100000,ê
111111111111100010,É
111111111111100100,α
111111111111100101,'
111111111111100111,•
111111111111101000,ο
111111111111101001,ν
111111111111101010,ä
111111111111101011,Á
1111111111111011010,ρ
1111111111111011100,γ
1111111111111011101,œ
1111111111111011111,â
1111111111111100001,Ü
1111111111111100011,‘
1111111111111100100,υ
1111111111111100101,τ
1111111111111100110,π
1111111111111101000,ι
1111111111111101001,η
1111111111111101010,δ
1111111111111101011,ί
1111111111111101100,Î
1111111111111101110,Æ
1111111111111101111,$
11111111111111100000,₂
11111111111111100010,ῖ
11111111111111100011,ὀ
11111111111111100100,ἁ
11111111111111100101,χ
11111111111111100110,σ
11111111111111101000,ς
11111111111111101001,μ
11111111111111101010,κ
11111111111111101011,ε
11111111111111101100,ή
11111111111111101110,ά
11111111111111101111,Σ
11111111111111110000,Œ
11111111111111110001,č
11111111111111110010,û
11111111111111110100,ú
11111111111111110101,ù
11111111111111110110,ó
11111111111111110111,ò
11111111111111111000,ì
11111111111111111010,ë
11111111111111111011,Ö
11111111111111111100,£
11111111111111111101,%
11111111111111111110,#
